Gene,Category,Protein,logFC,AveExpr,t,P.Value,adj.P.Val,B,count,sca.t,sca.P.Value,sca.adj.pval,significance,log.sca.pval
sucA,Other,242384E_coliDH5_00067,0.8949379501,30.41402476,7.17981098,0.000004498571769,0.00003273881726,3.953889349,14,8.121176728,0.0000006233632708,0.000005266384696,Not Significant,6.20525879
hisS,Other,242384E_coliDH5_01439,-0.6141549086,30.06295505,-6.632139126,0.00001083655239,0.00006830580977,3.038903211,14,-8.119171726,0.0000006253027941,0.000005266384696,Not Significant,6.203909631
unknown,Other,242384E_coliDH5_04152,3.322159863,23.90877807,8.221609964,0.0000009404395294,0.000008441999978,5.584939131,1,8.118985712,0.0000006254830545,0.000005266384696,Significant,6.203784452
fbaA_1,Other,242384E_coliDH5_02593,0.8471592626,32.38180248,7.100407029,0.000005097460162,0.0000362958043,3.823741075,14,8.098367203,0.0000006458065226,0.000005417729628,Not Significant,6.189897573
fumA,Other,242384E_coliDH5_00524,5.497030045,27.21381061,7.88605297,0.000001534115819,0.00001284221784,5.074821922,1,8.060937009,0.0000006844957927,0.000005721492006,Significant,6.164629217
rnlA,Other,242384E_coliDH5_03453,3.354618291,22.93505575,8.143036632,0.000001053336384,0.000009239722576,5.466755086,1,8.056742541,0.0000006889807631,0.000005738189966,Significant,6.161792904
metR,Other,242384E_coliDH5_03329,4.849941932,24.75492067,7.885051224,0.000001536390171,0.00001284221784,5.073277794,1,8.018810048,0.0000007309714817,0.000006066011541,Significant,6.136099566
pspA,Other,242384E_coliDH5_02081,-3.1162176,28.79323607,-7.650956497,0.000002179377209,0.00001745771951,4.708907857,8,-8.002484511,0.0000007498639166,0.000006200487654,Significant,6.125017544
caiE,Other,242384E_coliDH5_03566,2.294296909,22.83703102,8.589210637,0.0000005586861101,0.000005508072034,6.127810243,1,7.981449938,0.0000007749655631,0.000006385162693,Significant,6.110717596
cpdB_1,Other,242384E_coliDH5_00736,1.707721368,22.78588647,9.567840084,0.0000001502838883,0.000001759923504,7.496108293,1,7.945186637,0.0000008203362785,0.000006734931653,Significant,6.086008082
hcp,Other,242384E_coliDH5_00215,6.377385872,24.09206573,7.724898102,0.000001950086623,0.00001567543498,4.824760718,1,7.937503302,0.0000008303027893,0.000006792583457,Significant,6.080763503
unknown,Other,242384E_coliDH5_00691,-1.073241302,27.88423525,-7.737449613,0.000001913763387,0.00001543724522,4.844356467,3,-7.933388344,0.0000008356927976,0.000006812520438,Significant,6.077953341
uxaA,Other,242384E_coliDH5_01932,-4.431413839,23.70355953,-7.820585014,0.000001690511376,0.00001407945756,4.973637854,1,-7.920864643,0.0000008523244968,0.000006923635966,Significant,6.069395029
fis,Other,242384E_coliDH5_03899,3.356781959,25.47495277,7.975356521,0.000001344986234,0.00001136587268,5.21196553,1,7.906954973,0.0000008712052413,0.000007052177164,Significant,6.05987952
pdxY,Other,242384E_coliDH5_00550,1.975221779,24.91075785,8.871154492,0.0000003786613968,0.000003865362134,6.533230572,1,7.898129387,0.0000008834124238,0.000007125987629,Significant,6.053836497
aroD,Other,242384E_coliDH5_00608,-0.8911809909,28.47912994,-7.142392238,0.000004770989596,0.00003407638699,3.892662897,9,-7.882620657,0.0000009053008763,0.000007268382994,Not Significant,6.043207059
nagB_1,Other,242384E_coliDH5_00018,-0.9340021221,29.15939696,-7.271727996,0.000003896648499,0.00002881271822,4.103494107,7,-7.881177548,0.0000009073664076,0.000007268382994,Not Significant,6.042217303
lldR_1,Other,242384E_coliDH5_01935,1.61342451,25.08335138,9.639012741,0.0000001371341427,0.000001630765295,7.591472022,1,7.811889778,0.000001012601706,0.000008059490805,Significant,5.994561345
rbsD,Other,242384E_coliDH5_03980,1.349376672,27.73734392,7.762138212,0.000001844384554,0.00001503531861,4.882841715,2,7.811571745,0.000001013113278,0.000008059490805,Significant,5.994341992
unknown,Other,242384E_coliDH5_04162,1.239934569,26.528256,7.795785586,0.000001754076651,0.00001445233869,4.9351659,2,7.795731311,0.000001038940142,0.000008236546072,Significant,5.983409473
glgC,Other,242384E_coliDH5_01663,0.8711107242,28.92826098,7.315510666,0.000003640364211,0.00002735609197,4.174359259,5,7.784966172,0.000001056886089,0.000008350123997,Not Significant,5.975971818
