Gene,Category,Protein,logFC,AveExpr,t,P.Value,adj.P.Val,B,count,sca.t,sca.P.Value,sca.adj.pval,significance,log.sca.pval
hslR,Other,242384E_coliDH5_01634,0.8885042937,23.3516389,2.38627777,0.03156210396,0.06920820363,-5.042154974,1,2.335742108,0.03350180085,0.07136533201,Not Significant,1.474931847
htrL,Other,242384E_coliDH5_02917,1.623258588,24.62023739,2.279907031,0.03866037214,0.08093419105,-5.23326966,1,2.33221681,0.03373301592,0.07179157539,Not Significant,1.471944829
rsmB,Other,242384E_coliDH5_01522,0.3550697794,27.37254606,2.26535709,0.03974099133,0.08263608934,-5.259105254,3,2.330368179,0.0338548614,0.07198448409,Not Significant,1.47037896
dmsB_2,Other,242384E_coliDH5_00501,0.7591942816,21.94337946,2.434859377,0.02874868721,0.06408040715,-4.953633305,1,2.326421935,0.03411634777,0.072473678,Not Significant,1.467037467
amiB,Other,242384E_coliDH5_00783,0.8492539628,24.28118238,2.388912753,0.03140302295,0.06893127873,-5.037372832,1,2.325257672,0.03419385592,0.0725715047,Not Significant,1.466051923
nadE,Other,242384E_coliDH5_00655,-0.2880138732,30.985779,-2.083934381,0.05581407429,0.1088445219,-5.574420422,14,-2.318497703,0.03464716268,0.0734659966,Not Significant,1.460332325
rluC,Other,242384E_coliDH5_03254,-0.3474664046,27.03256833,-2.329630233,0.03517265881,0.07517007305,-5.144412162,2,-2.317324236,0.03472642479,0.0735664481,Not Significant,1.459339927
unknown,Other,242384E_coliDH5_02312,0.9280472994,21.78415432,2.349520952,0.03386249144,0.07314678629,-5.108627964,1,2.314794506,0.03489787529,0.0738618333,Not Significant,1.457201014
unknown,Other,242384E_coliDH5_03056,-0.6958733215,22.97800773,-2.461745209,0.02729612405,0.06161659312,-4.904331784,1,-2.312884397,0.03502785736,0.07406898894,Not Significant,1.455586427
rcsD,Other,242384E_coliDH5_00963,-0.4065224858,27.14566923,-2.294262763,0.03762132084,0.07911794637,-5.207704489,2,-2.311721324,0.03510722632,0.07412882317,Not Significant,1.454603481
yifK,Other,242384E_coliDH5_03361,-1.698093054,23.0228686,-2.255537335,0.04048627685,0.08369340564,-5.276498225,1,-2.311528256,0.03512041774,0.07412882317,Not Significant,1.454440327
holB,Other,242384E_coliDH5_03241,1.083084599,23.71354898,2.309163234,0.03657070483,0.07747347662,-5.181092171,1,2.310439171,0.0351949168,0.0741788895,Not Significant,1.453520057
unknown,Other,242384E_coliDH5_00641,-0.7587238539,23.88163658,-2.415065956,0.02986485774,0.0663120566,-4.989788523,1,-2.310241629,0.0352084456,0.0741788895,Not Significant,1.453353148
tolR,Other,242384E_coliDH5_00080,-0.4380788618,25.36956939,-3.028028767,0.008966433361,0.02472728394,-3.825394366,1,-2.3050746,0.03556404943,0.07485972813,Not Significant,1.448988795
mdtK,Other,242384E_coliDH5_00578,-1.432965219,24.38911601,-2.262764923,0.03993646589,0.08292837697,-5.263699981,1,-2.3041509,0.0356279738,0.07490805651,Not Significant,1.448208876
galF,Other,242384E_coliDH5_03675,0.6382989816,29.37302909,2.199803675,0.04497062911,0.09161732285,-5.374533734,6,2.303804863,0.03565194887,0.07490805651,Not Significant,1.447916725
unknown,Other,242384E_coliDH5_02963,-0.6831389267,22.63593578,-2.458774669,0.02745310291,0.06184991055,-4.909789617,1,-2.302595362,0.03573586773,0.07495637953,Not Significant,1.446895668
nlpD_2,Other,242384E_coliDH5_02652,-0.390960546,26.84351849,-2.290787384,0.03787042437,0.0794246082,-5.213900287,2,-2.302536888,0.03573992955,0.07495637953,Not Significant,1.446846308
lon_1,Other,242384E_coliDH5_00297,-0.4233963236,26.66339142,-3.116167383,0.007522755517,0.02155900246,-3.652354651,1,-2.301593414,0.03580552615,0.07502574825,Not Significant,1.44604994
iaaA,Other,242384E_coliDH5_00170,-0.4034935775,26.34571498,-2.275984535,0.03894894147,0.08146437712,-5.24024216,2,-2.293379628,0.03638138851,0.07616321534,Not Significant,1.43912073
ptsH,Other,242384E_coliDH5_01346,0.5566189914,30.31014356,2.177942397,0.04685314983,0.09440193594,-5.412662466,7,2.29002431,0.03661911356,0.07659138258,Not Significant,1.436292173
frr,Other,242384E_coliDH5_01294,-0.3708627794,30.98732846,-2.114630721,0.05272697002,0.1038779845,-5.522005206,13,-2.287936403,0.03676777546,0.07683266123,Not Significant,1.434532645
